folio_id,reservation_id,balance,status
F-00001,R-00001,316.0,Closed
F-00002,R-00002,170.57,Closed
F-00003,R-00003,941.81,Open
F-00004,R-00004,0.0,Voided
F-00005,R-00005,1456.56,Closed
F-00006,R-00006,0.0,Voided
F-00007,R-00007,1364.7,Closed
F-00008,R-00008,952.64,Open
F-00009,R-00009,3533.06,Open
F-00010,R-00010,595.0,Closed
F-00011,R-00011,1100.47,Open
F-00012,R-00012,756.72,Open
F-00013,R-00013,0.0,Voided
F-00014,R-00014,496.01,Closed
F-00015,R-00015,1826.14,Closed
F-00016,R-00016,769.54,Open
F-00017,R-00017,2889.41,Closed
F-00018,R-00018,1922.88,Closed
F-00019,R-00019,5390.88,Open
F-00020,R-00020,632.01,Closed
F-00021,R-00021,2619.17,Closed
F-00022,R-00022,0.0,Voided
F-00023,R-00023,3337.3,Closed
F-00024,R-00024,307.98,Closed
F-00025,R-00025,1318.0,Open
F-00026,R-00026,547.91,Closed
F-00027,R-00027,960.5,Closed
F-00028,R-00028,430.92,Closed
F-00029,R-00029,1295.28,Closed
F-00030,R-00030,339.81,Open
F-00031,R-00031,834.13,Closed
F-00032,R-00032,686.98,Closed
F-00033,R-00033,0.0,Voided
F-00034,R-00034,1973.87,Closed
F-00035,R-00035,481.93,Closed
F-00036,R-00036,1741.5,Closed
F-00037,R-00037,1865.04,Closed
F-00038,R-00038,196.25,Closed
F-00039,R-00039,1006.26,Closed
F-00040,R-00040,655.96,Closed
F-00041,R-00041,4513.48,Closed
F-00042,R-00042,554.4,Closed
F-00043,R-00043,4777.01,Closed
F-00044,R-00044,759.27,Open
F-00045,R-00045,1375.76,Closed
F-00046,R-00046,169.39,Closed
F-00047,R-00047,2736.32,Closed
F-00048,R-00048,1002.92,Closed
F-00049,R-00049,1017.33,Open
F-00050,R-00050,636.38,Open
F-00051,R-00051,2210.59,Closed
F-00052,R-00052,359.33,Closed
F-00053,R-00053,1316.34,Open
F-00054,R-00054,765.04,Closed
F-00055,R-00055,677.16,Open
F-00056,R-00056,606.51,Closed
F-00057,R-00057,329.31,Closed
F-00058,R-00058,5146.22,Closed
F-00059,R-00059,1214.25,Closed
F-00060,R-00060,190.0,Open
F-00061,R-00061,2147.75,Closed
F-00062,R-00062,801.41,Open
F-00063,R-00063,2407.24,Open
F-00064,R-00064,945.71,Closed
F-00065,R-00065,1867.54,Closed
F-00066,R-00066,630.83,Closed
F-00067,R-00067,4864.98,Open
F-00068,R-00068,0.0,Voided
F-00069,R-00069,4679.86,Closed
F-00070,R-00070,674.12,Closed
F-00071,R-00071,2583.58,Closed
F-00072,R-00072,171.78,Closed
F-00073,R-00073,502.51,Open
F-00074,R-00074,2466.08,Open
F-00075,R-00075,321.79,Open
F-00076,R-00076,517.37,Open
F-00077,R-00077,1716.27,Closed
F-00078,R-00078,1969.04,Closed
F-00079,R-00079,568.49,Closed
F-00080,R-00080,518.16,Closed
F-00081,R-00081,430.95,Closed
F-00082,R-00082,309.07,Open
F-00083,R-00083,682.17,Open
F-00084,R-00084,1257.52,Open
F-00085,R-00085,2225.18,Closed
F-00086,R-00086,0.0,Voided
F-00087,R-00087,4586.84,Closed
F-00088,R-00088,1528.82,Closed
F-00089,R-00089,246.49,Closed
F-00090,R-00090,244.18,Closed
F-00091,R-00091,495.72,Open
F-00092,R-00092,1378.85,Closed
F-00093,R-00093,666.14,Open
F-00094,R-00094,444.08,Closed
F-00095,R-00095,1219.7,Open
F-00096,R-00096,984.08,Closed
F-00097,R-00097,0.0,Voided
F-00098,R-00098,1609.36,Closed
F-00099,R-00099,317.85,Closed
F-00100,R-00100,667.95,Open
F-00101,R-00101,0.0,Voided
F-00102,R-00102,5494.31,Closed
F-00103,R-00103,196.87,Closed
F-00104,R-00104,1415.36,Open
F-00105,R-00105,1067.91,Open
F-00106,R-00106,941.63,Closed
F-00107,R-00107,692.23,Open
F-00108,R-00108,330.87,Closed
F-00109,R-00109,688.63,Closed
F-00110,R-00110,0.0,Voided
F-00111,R-00111,196.87,Closed
F-00112,R-00112,1291.4,Open
F-00113,R-00113,663.47,Closed
F-00114,R-00114,1361.95,Closed
F-00115,R-00115,569.48,Open
F-00116,R-00116,386.87,Closed
F-00117,R-00117,0.0,Voided
F-00118,R-00118,939.26,Open
F-00119,R-00119,3387.41,Open
F-00120,R-00120,674.82,Closed
F-00121,R-00121,0.0,Voided
F-00122,R-00122,0.0,Voided
F-00123,R-00123,0.0,Voided
F-00124,R-00124,574.49,Open
F-00125,R-00125,1363.47,Closed
F-00126,R-00126,336.6,Closed
F-00127,R-00127,1275.89,Closed
F-00128,R-00128,182.63,Closed
F-00129,R-00129,1252.07,Closed
F-00130,R-00130,1539.71,Closed
F-00131,R-00131,1600.22,Closed
F-00132,R-00132,684.24,Closed
F-00133,R-00133,2117.99,Open
F-00134,R-00134,2353.54,Closed
F-00135,R-00135,1315.5,Closed
F-00136,R-00136,527.14,Open
F-00137,R-00137,376.62,Closed
F-00138,R-00138,0.0,Voided
F-00139,R-00139,1706.45,Open
F-00140,R-00140,2820.15,Closed
F-00141,R-00141,714.92,Closed
F-00142,R-00142,196.87,Closed
F-00143,R-00143,469.38,Open
F-00144,R-00144,0.0,Voided
F-00145,R-00145,246.14,Open
F-00146,R-00146,546.34,Closed
F-00147,R-00147,328.46,Closed
F-00148,R-00148,1642.01,Open
F-00149,R-00149,400.29,Open
F-00150,R-00150,477.63,Open
F-00151,R-00151,0.0,Voided
F-00152,R-00152,209.59,Closed
F-00153,R-00153,3773.27,Closed
F-00154,R-00154,977.58,Closed
F-00155,R-00155,911.08,Closed
F-00156,R-00156,1368.36,Open
F-00157,R-00157,979.44,Closed
F-00158,R-00158,1375.89,Closed
